Rows/Columns,Data Width,Accumulator Width,Total Area,Sequential Area,Critical Path Time,Internal Power,Switching Power,Leakage Power,Total Power
4,4,16,34132.736,9609.216,4.62,0.0021,0.000952,1.41e-08,0.00305
8,4,16,136530.944,38436.864,4.62,0.00727,0.00304,5.58e-08,0.0103
16,4,16,546123.776,153747.456,4.62,0.0247,0.00895,2.2e-07,0.0337
32,4,16,2184495.104,614989.824,4.62,0.0885,0.0281,8.73e-07,0.117
4,4,32,61899.3664,16015.36,11.71,0.00416,0.0023,2.24e-08,0.00646
8,4,32,247597.4656,64061.44,11.71,0.0139,0.0071,8.72e-08,0.021
16,4,32,990389.8624,256245.76,11.71,0.0459,0.0204,3.42e-07,0.0663
32,4,32,3961559.4496,1024983.04,11.71,0.161,0.0635,1.35e-06,0.225
4,4,64,118353.5104,28827.648,21.53,0.00804,0.00467,4.24e-08,0.0127
8,4,64,473414.0416,115310.592,21.53,0.0268,0.0145,1.65e-07,0.0412
16,4,64,1893656.1664,461242.368,21.53,0.0873,0.0416,6.47e-07,0.129
32,4,64,7574624.6656,1844969.472,21.53,0.305,0.129,2.55e-06,0.433
4,4,128,227097.8048,54452.224,37.85,0.0157,0.00943,8.07e-08,0.0252
8,4,128,913115.7504,217808.896,41.84,0.052,0.0292,3.11e-07,0.0811
16,4,128,3652463.0016,871235.584,41.84,0.169,0.0838,1.21e-06,0.253
32,4,128,14609852.0064,3484942.336,41.84,0.585,0.26,4.76e-06,0.845
4,8,16,63220.6336,12812.288,4.5,0.00557,0.00378,2.38e-08,0.00935
8,8,16,252882.5344,51249.152,4.5,0.0161,0.0099,9.35e-08,0.026
16,8,16,1011530.1376,204996.608,4.5,0.0464,0.0247,3.69e-07,0.0711
32,8,16,4046120.5504,819986.432,4.5,0.147,0.066,1.46e-06,0.213
4,8,32,100836.7104,19218.432,11.83,0.0101,0.00722,3.42e-08,0.0174
8,8,32,403186.688,76873.728,8.93,0.0278,0.0188,1.39e-07,0.0465
16,8,32,1612746.752,307494.912,8.93,0.0791,0.0467,5.46e-07,0.126
32,8,32,6450987.008,1229979.648,8.93,0.248,0.125,2.16e-06,0.373
4,8,64,176048.8448,32030.72,18.3,0.0189,0.0141,5.93e-08,0.033
8,8,64,701793.0752,128122.88,18.34,0.0519,0.0362,2.33e-07,0.0881
16,8,64,2832156.2624,512491.52,19.15,0.151,0.0916,9.04e-07,0.242
32,8,64,11240220.2624,2049966.08,21.04,0.468,0.246,3.63e-06,0.713
4,8,128,323230.0032,57655.296,36.03,0.0356,0.0275,1.11e-07,0.0631
8,8,128,1300527.3088,230621.184,35.73,0.103,0.0728,4.41e-07,0.175
16,8,128,5219726.1312,922484.736,36.47,0.288,0.183,1.69e-06,0.471
32,8,128,20905810.3296,3689938.944,37.03,0.885,0.49,6.82e-06,1.38
4,16,16,96932.9664,19218.432,4.99,0.00852,0.00553,3.59e-08,0.0141
8,16,16,387731.8656,76873.728,4.99,0.0244,0.0146,1.41e-07,0.039
16,16,16,1550927.4624,307494.912,4.99,0.0699,0.0367,5.6e-07,0.107
32,16,16,6203709.8496,1229979.648,4.99,0.219,0.0985,2.23e-06,0.318
4,16,32,211582.9248,25624.576,7.16,0.0264,0.0206,7.2e-08,0.047
8,16,32,846732.0832,102498.304,7.43,0.0659,0.0491,2.82e-07,0.115
16,16,32,3386928.3328,409993.216,7.43,0.165,0.113,1.11e-06,0.278
32,16,32,13547713.3312,1639972.864,7.43,0.446,0.274,4.38e-06,0.721
4,16,64,297385.216,38436.864,15.25,0.0399,0.0325,1.02e-07,0.0724
8,16,64,1189540.864,153747.456,15.25,0.103,0.0805,3.94e-07,0.184
16,16,64,4753358.848,614989.824,15.34,0.261,0.187,1.55e-06,0.448
32,16,64,18999341.8752,2459959.296,16.33,,,,
4,16,128,467047.936,64061.44,31.84,0.0657,0.052,1.61e-07,0.118
8,16,128,1868191.744,256245.76,31.84,0.173,0.131,6.28e-07,0.304
16,16,128,7438173.7984,1024983.04,33.46,0.433,0.308,2.46e-06,0.741
32,16,128,29952566.8864,4099932.16,32.26,,,,
4,32,16,106321.9712,25624.576,4.54,0.00904,0.00547,4.14e-08,0.0145
8,32,16,425287.8848,102498.304,4.54,0.0267,0.0145,1.64e-07,0.0413
16,32,16,1701151.5392,409993.216,4.54,0.0805,0.0373,6.51e-07,0.118
32,32,16,6804606.1568,1639972.864,4.54,0.264,0.103,2.59e-06,0.367
4,32,32,337543.7312,38436.864,8.32,0.0526,0.0438,1.24e-07,0.0964
8,32,32,1339124.3264,153747.456,8.22,0.132,0.105,4.69e-07,0.237
16,32,32,5369309.5936,614989.824,8.66,0.323,0.237,1.86e-06,0.559
32,32,32,21477238.3744,2459959.296,8.66,,,,
4,32,64,732122.1632,51249.152,14.25,,,,
8,32,64,2920480.9728,204996.608,13.97,,,,
16,32,64,11713954.611199,819986.432,14.25,,,,
32,32,64,46763569.971198,3279945.728,,,,,
4,32,128,973273.4464,76873.728,,,,,
8,32,128,3893093.7856,307494.912,,,,,
16,32,128,15586468.659199,1229979.648,,,,,
32,32,128,62172908.748795,4919918.592,,,,,
